root_id,cell_type,n_embeddings,n_skeleton_nodes,nearest_median_nm,nearest_p95_nm,nearest_p99_nm,nearest_max_nm,fraction_within_100nm,fraction_within_500nm,fraction_within_1000nm,fraction_finite_radius,embedding_center_x,skeleton_center_x,embedding_center_y,skeleton_center_y,embedding_center_z,skeleton_center_z
864691135874914702,L3IT,3526,36858,70.14612249417326,250.6874901547323,1005.2818097631699,3588.643135599791,0.6769710720363018,0.9818491208167895,0.9892229154849688,1.0,603856.0,603913.8125,626100.0,646437.75,745600.0,745360.4375
864691135875460494,L6CT,1815,18870,74.93087960747557,295.11952053275735,1062.0439470410006,1943.6912059034094,0.6325068870523416,0.9730027548209367,0.9878787878787879,1.0,766736.0,765303.78125,892368.0,902569.71875,905360.0,902862.53125
864691135875763086,PV,2372,31257,65.83334393822653,4869.648110511405,16254.580124145577,24457.9291556344,0.6998313659359191,0.9118887015177066,0.9173693086003373,1.0,687452.0,686469.0625,414664.0,416999.0625,940680.0,939446.75
864691135875799694,astrocyte,1470,23824,389.44799985420593,2361.0979504121447,2997.307064306714,3942.8692291036614,0.24965986394557824,0.5319727891156463,0.6727891156462585,1.0,730820.0,730538.40625,427620.0,426940.140625,872200.0,874036.75
864691135877825107,L5IT,3319,34420,69.31647306016082,220.36605229889605,612.8832646459657,3580.1117333733455,0.6932811087677011,0.9876468815908406,0.9927689062970775,1.0,721720.0,730947.125,761960.0,775309.125,833200.0,838363.25
864691135878061395,L5IT,4437,51204,66.41424216611976,239.60703430513456,824.5974075219312,2041.092732574576,0.7056569754338518,0.9833220644579671,0.9930132972729322,1.0,773736.0,787945.78125,814400.0,829023.59375,930680.0,949843.875
864691135878154067,PV,8027,101619,67.73561309422098,202.260797354009,390.2273973473994,5290.385673116139,0.7083592874050081,0.9935218637099789,0.997134670487106,1.0,788744.0,781739.5,761224.0,759653.75,884440.0,882290.875
864691135885140848,L2IT,4784,48445,76.39960735265045,301.82488236543765,1137.7470176694057,6388.962284919594,0.6275083612040134,0.9753344481605352,0.9885033444816054,1.0,1349728.0,1347540.125,500632.0,510082.75,832500.0,839320.625
864691135885623408,L6CT,4089,60128,60.24280299338669,222.79374074115148,936.5069095552335,3451.1223276366923,0.7593543653705063,0.9799461971142088,0.9909513328442162,1.0,736576.0,730311.375,946552.0,944908.9375,893320.0,883375.15625
864691135885911920,L3IT,4311,48195,68.86130195000672,264.14563758711904,1199.059401423178,3014.557783308565,0.6838320575272558,0.9779633495708653,0.9863140802598005,1.0,755080.0,747587.75,588576.0,600649.8125,891840.0,890224.6875
864691135886314096,L4IT,3592,47695,59.59682161647817,204.97341554356265,1067.1208740465536,3010.2090426528107,0.7664253897550112,0.9782850779510023,0.9888641425389755,1.0,695512.0,695281.8125,683248.0,696158.0,898560.0,901202.25
864691135891690121,PV,8397,100604,72.31660532858272,228.13407134381183,531.9302099321142,6194.554208637616,0.6745266166488031,0.9892818863879957,0.9938073121352864,1.0,732512.0,730671.09375,731928.0,734640.6875,937560.0,936689.8125
864691135891796617,PV,24533,297883,71.2890517979444,224.9473613924218,422.74754708563785,5966.440460570377,0.6664900338319815,0.9936004565279419,0.997432030326499,1.0,665824.0,665700.4375,478160.0,476066.875,903120.0,902791.6875
864691135892048777,L2IT,7549,102746,58.682041812210315,231.16343805854854,1135.2330854458214,4145.232976527073,0.7579811895615314,0.9817194330374884,0.9884752947410254,1.0,716984.0,720399.09375,503440.0,562444.03125,908240.0,912026.9375
864691135919645872,L5IT,5750,79067,61.425453571348086,238.73461575769772,1167.2267014299666,3912.4890365261726,0.7386086956521739,0.9796521739130435,0.9878260869565217,1.0,1347016.0,1345341.75,670640.0,682231.375,808060.0,809090.0625
864691135919749808,L6CT,2729,33002,62.737081588562916,248.75086423638842,966.3170897755073,4329.393934020962,0.707218761451081,0.978746793697325,0.9904727006229388,1.0,776400.0,741615.21875,947040.0,942572.4375,912960.0,885606.78125
